original_name,standard_name
CUSTOMERCLASS,std_class
"Customer
Class",std_class
CUSTOMER_CLASS,std_class
CustomerClass,std_class
COMBINED,std_combined
Combined,std_combined
MONTH,std_month
Month,std_month
TOTALCUSTOMERS,std_total_custs
TotalAccounts,std_total_custs
TOTAL_CUSTOMERS,std_total_custs
TotalCustomers,std_total_custs
TOTALKWH,std_total_kwh
TotalkWh,std_total_kwh
TOTALTHM,std_total_therms
TotalTherms,std_total_therms
TOTAL_THERMS,std_total_therms
TOTALTHERMS,std_total_therms
YEAR,std_year
Year,std_year
ZIPCODE,ZIP_CODE
Zip Code,ZIP_CODE
"Zip
Code",ZIP_CODE
ZIP_CODE,ZIP_CODE
ZipCode,ZIP_CODE
